,state,lga_name,locality_name,lc1_1,rm2b,inf1a_1,inf1a_2,inf1a_3,inf1a_4,inf1a_5
22066,ONDO,OWO,IYERE,yes,,no,yes,yes,yes,no
22067,ONDO,OWO,OWO,no,,no,no,no,no,no
22068,ONDO,OWO,OWO,no,no,no,no,yes,no,no
22069,ONDO,OWO,OWO,no,,no,no,no,no,no
22070,ONDO,IFEDORE,IBULE SORO,no,,no,yes,no,no,no
22071,ONDO,OWO,OLOTUOGO CAMP IJEBU OWO,no,,no,no,no,no,no
22072,ONDO,OWO,OLOTUOGO CAMP IJEBU OWO,no,,no,no,yes,no,no
22073,ONDO,OSE,OMI ALAFA IKARO,no,,no,no,yes,no,no
22074,ONDO,ONDO WEST,ONDO,no,,no,no,no,yes,no
22075,ONDO,ONDO WEST,ONDO,no,,yes,no,no,no,no
22076,ONDO,ONDO WEST,ONDO,no,,no,no,no,no,no
22077,ONDO,ONDO WEST,ONDO,no,,no,no,no,no,no
22078,ONDO,ONDO WEST,ONDO,no,,no,no,no,no,no
22079,ONDO,ONDO EAST,LOMILEJU,no,no,no,no,no,no,no
22080,ONDO,ONDO EAST,LOMILEJU,no,,no,no,no,yes,no
22081,ONDO,ONDO EAST,OJOJO,yes,,no,no,no,yes,no
22082,ONDO,OKITIPUPA,ODE AYE,no,,no,yes,no,no,no
22083,ONDO,OKITIPUPA,ODE AYE,no,no,yes,no,no,no,no
22084,ONDO,OKITIPUPA,ODE AYE,no,,no,no,no,no,no
22085,ONDO,OKITIPUPA,OKITIPUPA,no,,no,no,no,yes,no
22086,ONDO,OKITIPUPA,OKITIPUPA,no,,no,no,no,no,no
22087,ONDO,OKITIPUPA,OKITIPUPA,no,,no,no,no,no,no
22088,ONDO,OKITIPUPA,OKITIPUPA,no,,no,no,no,no,no
22089,ONDO,ODIGBO,KAJOLA OJU IRIN,no,,no,no,no,no,no
22090,ONDO,ODIGBO,ORE,no,,no,no,no,no,no
22091,ONDO,ODIGBO,ORE,no,,no,no,no,no,no
